0.01 0.01 0
0.01 0.02 0
0.01 0.03 0
0.01 0.04 0
0.01 0.05 0
0.01 0.06 0
0.01 0.07 0
0.01 0.08 0
0.01 0.09 0
0.01 0.1 0
0.01 0.11 0
0.01 0.12 0
0.01 0.13 0
0.01 0.14 0
0.01 0.15 0
0.01 0.16 0
0.01 0.17 0
0.01 0.18 0
0.01 0.19 0
0.01 0.2 0
0.01 0.21 0
0.01 0.22 0
0.01 0.23 0
0.01 0.24 0
0.01 0.25 0
0.01 0.26 0
0.01 0.27 0
0.01 0.28 0
0.01 0.29 0
0.01 0.3 0
0.01 0.31 0
0.01 0.32 0
0.01 0.33 0
0.01 0.34 0
0.01 0.35 0
0.01 0.36 0
0.01 0.37 0
0.01 0.38 0
0.01 0.39 0
0.01 0.4 0
0.01 0.41 0
0.01 0.42 0
0.01 0.43 0
0.01 0.44 0
0.01 0.45 0
0.01 0.46 0
0.01 0.47 0
0.01 0.48 0
0.01 0.49 0
0.01 0.5 0
0.01 0.51 0
0.01 0.52 0
0.01 0.53 0
0.01 0.54 0
0.01 0.55 0
0.01 0.56 -0.0176346
0.01 0.57 -0.0342784
0.01 0.58 -0.0485899
0.01 0.59 -0.0620602
0.01 0.6 -0.0754277
0.01 0.61 -0.0888206
0.01 0.62 -0.102083
0.01 0.63 -0.114955
0.01 0.64 -0.127149
0.01 0.65 -0.138392
0.01 0.66 -0.148434
0.01 0.67 -0.157057
0.01 0.68 -0.164074
0.01 0.69 -0.169333
0.01 0.7 -0.172712
0.01 0.71 -0.174124
0.01 0.72 -0.173509
0.01 0.73 -0.170841
0.01 0.74 -0.166124
0.01 0.75 -0.159393
0.01 0.76 -0.150715
0.01 0.77 -0.14019
0.01 0.78 -0.127951
0.01 0.79 -0.114172
0.01 0.8 -0.0990667
0.01 0.81 -0.0829008
0.01 0.82 -0.066001
0.01 0.83 -0.0487743
0.01 0.84 -0.0317385
0.01 0.85 -0.015576
0.01 0.86 -0.0012373
0.01 0.87 0.00985786
0.01 0.88 0.0154726
0.01 0.89 0.0123918

0.02 0.01 0
0.02 0.02 0
0.02 0.03 0
