-2.313433	0.074545	0.099066	0.057108	0.023173	-0.087903	-0.093646
-2.263682	0.075572	0.098653	0.053212	0.029189	-0.091316	-0.090017
-2.213930	0.076580	0.098144	0.049199	0.035092	-0.094172	-0.085597
-2.164179	0.077570	0.097539	0.045077	0.040857	-0.096452	-0.080424
-2.114428	0.078541	0.096838	0.040857	0.046463	-0.098144	-0.074545
-2.064677	0.079492	0.096043	0.036547	0.051887	-0.099237	-0.068011
-2.014925	0.080424	0.095154	0.032156	0.057108	-0.099724	-0.060879
-1.965174	0.081337	0.094172	0.027695	0.062107	-0.099602	-0.053212
-1.915423	0.082229	0.093098	0.023173	0.066862	-0.098872	-0.045077
-1.865672	0.083102	0.091933	0.018600	0.071357	-0.097539	-0.036547
-1.815920	0.083954	0.090678	0.013986	0.075572	-0.095610	-0.027695
-1.766169	0.084786	0.089334	0.009341	0.079492	-0.093098	-0.018600
-1.716418	0.085597	0.087903	0.004676	0.083102	-0.090017	-0.009341
-1.666667	0.086387	0.086387	0.000000	0.086387	-0.086387	-0.000000
-1.616915	0.087156	0.084786	-0.004676	0.089334	-0.082229	0.009341
-1.567164	0.087903	0.083102	-0.009341	0.091933	-0.077570	0.018600
-1.517413	0.088630	0.081337	-0.013986	0.094172	-0.072437	0.027695
-1.467662	0.089334	0.079492	-0.018600	0.096043	-0.066862	0.036547
-1.417910	0.090017	0.077570	-0.023173	0.097539	-0.060879	0.045077
-1.368159	0.090678	0.075572	-0.027695	0.098653	-0.054524	0.053212
-1.318408	0.091316	0.073500	-0.032156	0.099383	-0.047837	0.060879
-1.268657	0.091933	0.071357	-0.036547	0.099724	-0.040857	0.068011
-1.218905	0.092526	0.069143	-0.040857	0.099675	-0.033628	0.074545
-1.169154	0.093098	0.066862	-0.045077	0.099237	-0.026194	0.080424
-1.119403	0.093646	0.064516	-0.049199	0.098411	-0.018600	0.085597
-1.069652	0.094172	0.062107	-0.053212	0.097200	-0.010892	0.090017
-1.019900	0.094674	0.059637	-0.057108	0.095610	-0.003118	0.093646
-0.970149	0.095154	0.057108	-0.060879	0.093646	0.004676	0.096452
-0.920398	0.095610	0.054524	-0.064516	0.091316	0.012440	0.098411
-0.870647	0.096043	0.051887	-0.068011	0.088630	0.020129	0.099504
-0.820896	0.096452	0.049199	-0.071357	0.085597	0.027695	0.099724
-0.771144	0.096838	0.046463	-0.074545	0.082229	0.035092	0.099066
-0.721393	0.097200	0.043681	-0.077570	0.078541	0.042274	0.097539
-0.671642	0.097539	0.040857	-0.080424	0.074545	0.049199	0.095154
-0.621891	0.097853	0.037993	-0.083102	0.070258	0.055823	0.091933
-0.572139	0.098144	0.035092	-0.085597	0.065697	0.062107	0.087903
-0.522388	0.098411	0.032156	-0.087903	0.060879	0.068011	0.083102
-0.472637	0.098653	0.029189	-0.090017	0.055823	0.073500	0.077570
-0.422886	0.098872	0.026194	-0.091933	0.050549	0.078541	0.071357
-0.373134	0.099066	0.023173	-0.093646	0.045077	0.083102	0.064516
-0.323383	0.099237	0.020129	-0.095154	0.039430	0.087156	0.057108
-0.273632	0.099383	0.017066	-0.096452	0.033628	0.090678	0.049199
-0.223881	0.099504	0.013986	-0.097539	0.027695	0.093646	0.040857
-0.174129	0.099602	0.010892	-0.098411	0.021653	0.096043	0.032156
-0.124378	0.099675	0.007788	-0.099066	0.015527	0.097853	0.023173
-0.074627	0.099724	0.004676	-0.099504	0.009341	0.099066	0.013986
-0.024876	0.099748	0.001559	-0.099724	0.003118	0.099675	0.004676
0.024876	0.099748	-0.001559	-0.099724	-0.003118	0.099675	-0.004676
0.074627	0.099724	-0.004676	-0.099504	-0.009341	0.099066	-0.013986
0.124378	0.099675	-0.007788	-0.099066	-0.015527	0.097853	-0.023173
0.174129	0.099602	-0.010892	-0.098411	-0.021653	0.096043	-0.032156
0.223881	0.099504	-0.013986	-0.097539	-0.027695	0.093646	-0.040857
0.273632	0.099383	-0.017066	-0.096452	-0.033628	0.090678	-0.049199
0.323383	0.099237	-0.020129	-0.095154	-0.039430	0.087156	-0.057108
0.373134	0.099066	-0.023173	-0.093646	-0.045077	0.083102	-0.064516
0.422886	0.098872	-0.026194	-0.091933	-0.050549	0.078541	-0.071357
0.472637	0.098653	-0.029189	-0.090017	-0.055823	0.073500	-0.077570
0.522388	0.098411	-0.032156	-0.087903	-0.060879	0.068011	-0.083102
0.572139	0.098144	-0.035092	-0.085597	-0.065697	0.062107	-0.087903
0.621891	0.097853	-0.037993	-0.083102	-0.070258	0.055823	-0.091933
0.671642	0.097539	-0.040857	-0.080424	-0.074545	0.049199	-0.095154
0.721393	0.097200	-0.043681	-0.077570	-0.078541	0.042274	-0.097539
0.771144	0.096838	-0.046463	-0.074545	-0.082229	0.035092	-0.099066
0.820896	0.096452	-0.049199	-0.071357	-0.085597	0.027695	-0.099724
0.870647	0.096043	-0.051887	-0.068011	-0.088630	0.020129	-0.099504
0.920398	0.095610	-0.054524	-0.064516	-0.091316	0.012440	-0.098411
0.970149	0.095154	-0.057108	-0.060879	-0.093646	0.004676	-0.096452
1.019900	0.094674	-0.059637	-0.057108	-0.095610	-0.003118	-0.093646
1.069652	0.094172	-0.062107	-0.053212	-0.097200	-0.010892	-0.090017
1.119403	0.093646	-0.064516	-0.049199	-0.098411	-0.018600	-0.085597
1.169154	0.093098	-0.066862	-0.045077	-0.099237	-0.026194	-0.080424
1.218905	0.092526	-0.069143	-0.040857	-0.099675	-0.033628	-0.074545
1.268657	0.091933	-0.071357	-0.036547	-0.099724	-0.040857	-0.068011
1.318408	0.091316	-0.073500	-0.032156	-0.099383	-0.047837	-0.060879
1.368159	0.090678	-0.075572	-0.027695	-0.098653	-0.054524	-0.053212
1.417910	0.090017	-0.077570	-0.023173	-0.097539	-0.060879	-0.045077
1.467662	0.089334	-0.079492	-0.018600	-0.096043	-0.066862	-0.036547
1.517413	0.088630	-0.081337	-0.013986	-0.094172	-0.072437	-0.027695
1.567164	0.087903	-0.083102	-0.009341	-0.091933	-0.077570	-0.018600
1.616915	0.087156	-0.084786	-0.004676	-0.089334	-0.082229	-0.009341
1.666667	0.086387	-0.086387	0.000000	-0.086387	-0.086387	-0.000000
1.716418	0.085597	-0.087903	0.004676	-0.083102	-0.090017	0.009341
1.766169	0.084786	-0.089334	0.009341	-0.079492	-0.093098	0.018600
1.815920	0.083954	-0.090678	0.013986	-0.075572	-0.095610	0.027695
1.865672	0.083102	-0.091933	0.018600	-0.071357	-0.097539	0.036547
1.915423	0.082229	-0.093098	0.023173	-0.066862	-0.098872	0.045077
1.965174	0.081337	-0.094172	0.027695	-0.062107	-0.099602	0.053212
2.014925	0.080424	-0.095154	0.032156	-0.057108	-0.099724	0.060879
2.064677	0.079492	-0.096043	0.036547	-0.051887	-0.099237	0.068011
2.114428	0.078541	-0.096838	0.040857	-0.046463	-0.098144	0.074545
2.164179	0.077570	-0.097539	0.045077	-0.040857	-0.096452	0.080424
2.213930	0.076580	-0.098144	0.049199	-0.035092	-0.094172	0.085597
2.263682	0.075572	-0.098653	0.053212	-0.029189	-0.091316	0.090017
2.313433	0.074545	-0.099066	0.057108	-0.023173	-0.087903	0.093646
2.363184	0.073500	-0.099383	0.060879	-0.017066	-0.083954	0.096452
2.412935	0.072437	-0.099602	0.064516	-0.010892	-0.079492	0.098411
2.462687	0.071357	-0.099724	0.068011	-0.004676	-0.074545	0.099504
2.512438	0.070258	-0.099748	0.071357	0.001559	-0.069143	0.099724
2.562189	0.069143	-0.099675	0.074545	0.007788	-0.063319	0.099066
2.611940	0.068011	-0.099504	0.077570	0.013986	-0.057108	0.097539
2.661692	0.066862	-0.099237	0.080424	0.020129	-0.050549	0.095154
2.711443	0.065697	-0.098872	0.083102	0.026194	-0.043681	0.091933
2.761194	0.064516	-0.098411	0.085597	0.032156	-0.036547	0.087903
2.810945	0.063319	-0.097853	0.087903	0.037993	-0.029189	0.083102
2.860697	0.062107	-0.097200	0.090017	0.043681	-0.021653	0.077570
2.910448	0.060879	-0.096452	0.091933	0.049199	-0.013986	0.071357
2.960199	0.059637	-0.095610	0.093646	0.054524	-0.006232	0.064516
3.009950	0.058380	-0.094674	0.095154	0.059637	0.001559	0.057108
3.059701	0.057108	-0.093646	0.096452	0.064516	0.009341	0.049199
3.109453	0.055823	-0.092526	0.097539	0.069143	0.017066	0.040857
3.159204	0.054524	-0.091316	0.098411	0.073500	0.024686	0.032156
3.208955	0.053212	-0.090017	0.099066	0.077570	0.032156	0.023173
3.258706	0.051887	-0.088630	0.099504	0.081337	0.039430	0.013986
3.308458	0.050549	-0.087156	0.099724	0.084786	0.046463	0.004676
3.358209	0.049199	-0.085597	0.099724	0.087903	0.053212	-0.004676
3.407960	0.047837	-0.083954	0.099504	0.090678	0.059637	-0.013986
3.457711	0.046463	-0.082229	0.099066	0.093098	0.065697	-0.023173
3.507463	0.045077	-0.080424	0.098411	0.095154	0.071357	-0.032156
3.557214	0.043681	-0.078541	0.097539	0.096838	0.076580	-0.040857
3.606965	0.042274	-0.076580	0.096452	0.098144	0.081337	-0.049199
3.656716	0.040857	-0.074545	0.095154	0.099066	0.085597	-0.057108
3.706468	0.039430	-0.072437	0.093646	0.099602	0.089334	-0.064516
3.756219	0.037993	-0.070258	0.091933	0.099748	0.092526	-0.071357
3.805970	0.036547	-0.068011	0.090017	0.099504	0.095154	-0.077570
3.855721	0.035092	-0.065697	0.087903	0.098872	0.097200	-0.083102
3.905473	0.033628	-0.063319	0.085597	0.097853	0.098653	-0.087903
3.955224	0.032156	-0.060879	0.083102	0.096452	0.099504	-0.091933
4.004975	0.030676	-0.058380	0.080424	0.094674	0.099748	-0.095154
4.054726	0.029189	-0.055823	0.077570	0.092526	0.099383	-0.097539
4.104478	0.027695	-0.053212	0.074545	0.090017	0.098411	-0.099066
4.154229	0.026194	-0.050549	0.071357	0.087156	0.096838	-0.099724
4.203980	0.024686	-0.047837	0.068011	0.083954	0.094674	-0.099504
4.253731	0.023173	-0.045077	0.064516	0.080424	0.091933	-0.098411
4.303483	0.021653	-0.042274	0.060879	0.076580	0.088630	-0.096452
4.353234	0.020129	-0.039430	0.057108	0.072437	0.084786	-0.093646
4.402985	0.018600	-0.036547	0.053212	0.068011	0.080424	-0.090017
4.452736	0.017066	-0.033628	0.049199	0.063319	0.075572	-0.085597
4.502488	0.015527	-0.030676	0.045077	0.058380	0.070258	-0.080424
4.552239	0.013986	-0.027695	0.040857	0.053212	0.064516	-0.074545
4.601990	0.012440	-0.024686	0.036547	0.047837	0.058380	-0.068011
4.651741	0.010892	-0.021653	0.032156	0.042274	0.051887	-0.060879
4.701493	0.009341	-0.018600	0.027695	0.036547	0.045077	-0.053212
4.751244	0.007788	-0.015527	0.023173	0.030676	0.037993	-0.045077
4.800995	0.006232	-0.012440	0.018600	0.024686	0.030676	-0.036547
4.850746	0.004676	-0.009341	0.013986	0.018600	0.023173	-0.027695
4.900498	0.003118	-0.006232	0.009341	0.012440	0.015527	-0.018600
4.950249	0.001559	-0.003118	0.004676	0.006232	0.007788	-0.009341
